X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.060167059,0.282265306,0,35612.6914,2000,0,0,0,0.09371426,0,0,667.666016,35612.6914,2000,-6826732,-464908.219,1.03E-06,-219142.172,79761.5156,0,-603065,219498.469,0,1.17298818,0.689450443,0.048799813,43879.875,0,0,183.96553,0.002381222,0.993429005,0.004183017,2.41E-17,0.000769414,4.41E-11,0.001618534
0.061795827,0.286740303,0,35596.2969,2000,0,0,0,0.093667097,0,0,667.683105,35596.2969,2000,-6826202.5,-470122.281,1.03E-06,-220714.719,80333.8828,0,-607247.312,221020.719,0,1.17299771,0.68944937,0.049238183,43964.1094,0,0,184.319077,0.002424191,0.993374467,0.004217722,2.50E-17,0.000777636,4.46E-11,0.001630125
0.063424595,0.29121533,0,35580.9805,2000,0,0,0,0.093621753,0,0,667.704468,35580.9805,2000,-6825538.5,-477279.375,1.03E-06,-222324.656,80919.8594,0,-611474.625,222559.359,0,1.17300963,0.689448118,0.049671706,44103.6094,0,0,184.904434,0.002467064,0.993305564,0.0042616,2.55E-17,0.000788321,4.52E-11,0.001644489
0.065053366,0.295690328,0,35566.6953,2000,0,0,0,0.093578346,0,0,667.729126,35566.6953,2000,-6824772,-485960.438,1.03E-06,-223960.406,81515.2266,0,-615741.188,224112.281,0,1.17302346,0.689446628,0.050100122,44289.5586,0,0,185.684601,0.002509802,0.993225634,0.004312469,2.58E-17,0.000800961,4.59E-11,0.001660887
0.066682138,0.300165325,0,35553.3086,2000,0,0,0,0.093536794,0,0,667.756042,35553.3086,2000,-6823936.5,-495768.594,1.03E-06,-225608.594,82115.125,0,-620037.875,225676.141,0,1.17303848,0.689445078,0.050522961,44511.9492,0,0,186.617661,0.002552344,0.993138134,0.004368199,2.58E-17,0.00081505,4.67E-11,0.001678613
0.068310902,0.304640353,0,35540.6172,2000,0,0,0,0.093496792,0,0,667.784119,35540.6172,2000,-6823063,-506296.219,1.03E-06,-227258.125,82715.5,0,-624357.312,227248.281,0,1.17305434,0.689443469,0.050939791,44760.5469,0,0,187.660629,0.002594632,0.993046165,0.004426719,2.57E-17,0.000830093,4.76E-11,0.001696978
0.069939673,0.30911535,0,35528.3555,2000,0,0,0,0.093457848,0,0,667.812561,35528.3555,2000,-6822179.5,-517139.406,1.03E-06,-228899.141,83312.7812,0,-628689.188,228824.969,0,1.17307031,0.6894418,0.051350027,45024.6992,0,0,188.768845,0.00263659,0.992952764,0.004486192,2.56E-17,0.000845638,4.84E-11,0.001715384
0.071568444,0.313590348,0,35516.2305,2000,0,0,0,0.093419328,0,0,667.840759,35516.2305,2000,-6821303.5,-527962.75,1.03E-06,-230529.266,83906.1016,0,-633039,230408.172,0,1.17308617,0.689440191,0.051753707,45297.8438,0,0,189.91478,0.002678207,0.992859721,0.004545426,2.56E-17,0.000861362,4.92E-11,0.001733474
0.073197208,0.318065375,0,35503.9414,2000,0,0,0,0.093380503,0,0,667.868408,35503.9414,2000,-6820443,-538631.688,1.03E-06,-232146.359,84494.6719,0,-637404.812,231997.219,0,1.17310166,0.689438581,0.05215057,45572.1758,0,0,191.065689,0.002719439,0.99276799,0.004603813,2.57E-17,0.000877069,5.00E-11,0.001751099
0.07482598,0.322540373,0,35491.2422,2000,0,0,0,0.09334074,0,0,667.895508,35491.2422,2000,-6819601,-549049.75,1.03E-06,-233748.344,85077.7422,0,-641779.438,233589.453,0,1.17311692,0.689437032,0.052540183,45843.7812,0,0,192.205185,0.002760224,0.992677927,0.004661147,2.60E-17,0.00089267,5.09E-11,0.001768227
0.076454751,0.32701537,0,35477.9375,2000,0,0,0,0.093299493,0,0,667.922119,35477.9375,2000,-6818773,-559233.625,1.03E-06,-235337.891,85656.2891,0,-646166.125,235186.094,0,1.17313194,0.689435482,0.052922577,46114.5117,0,0,193.341003,0.002800548,0.992589116,0.004717687,2.67E-17,0.000908194,5.19E-11,0.001784981
0.078083523,0.331490397,0,35463.8594,2000,0,0,0,0.093256265,0,0,667.948608,35463.8594,2000,-6817949,-569283.375,1.03E-06,-236911.781,86229.1328,0,-650550.75,236781.953,0,1.17314684,0.689433992,0.05329708,46381.543,0,0,194.461334,0.002840324,0.992500603,0.004774044,2.75E-17,0.000923755,5.30E-11,0.001801593
